ID;zone_ID;number;status
p1-1;z1;1;FREE
p1-2;z1;2;FREE
p1-3;z1;3;FREE
p1-4;z1;4;FREE
p1-5;z1;5;FREE
p1-6;z1;6;FREE
p1-7;z1;7;FREE
p1-8;z1;8;FREE
p1-9;z1;9;FREE
p1-10;z1;10;FREE
p1-11;z1;11;FREE
p1-12;z1;12;FREE
p1-13;z1;13;FREE
p1-14;z1;14;FREE
p1-15;z1;15;FREE
p1-16;z1;16;FREE
p1-17;z1;17;FREE
p1-18;z1;18;FREE
p1-19;z1;19;FREE
p1-20;z1;20;FREE
p1-21;z1;21;FREE
p1-22;z1;22;FREE
p1-23;z1;23;FREE
p1-24;z1;24;FREE
p1-25;z1;25;FREE
p1-26;z1;26;FREE
p1-27;z1;27;FREE
p1-28;z1;28;FREE
p1-29;z1;29;FREE
p1-30;z1;30;FREE
p1-31;z1;31;FREE
p1-32;z1;32;FREE
p1-33;z1;33;FREE
p1-34;z1;34;FREE
p1-35;z1;35;FREE
p1-36;z1;36;FREE
p1-37;z1;37;FREE
p1-38;z1;38;FREE
p1-39;z1;39;FREE
p1-40;z1;40;FREE
p1-41;z1;41;FREE
p1-42;z1;42;FREE
p1-43;z1;43;FREE
p1-44;z1;44;FREE
p1-45;z1;45;FREE
p1-46;z1;46;FREE
p1-47;z1;47;FREE
p1-48;z1;48;FREE
p1-49;z1;49;FREE
p1-50;z1;50;FREE
p1-51;z1;51;FREE
p1-52;z1;52;FREE
p1-53;z1;53;FREE
p1-54;z1;54;FREE
p2-1;z2;1;FREE
p2-2;z2;2;FREE
p2-3;z2;3;FREE
p2-4;z2;4;FREE
p2-5;z2;5;FREE
p2-6;z2;6;FREE
p2-7;z2;7;FREE
p2-8;z2;8;FREE
p2-9;z2;9;FREE
p2-10;z2;10;FREE
p2-11;z2;11;FREE
p2-12;z2;12;FREE
p2-13;z2;13;FREE
p2-14;z2;14;FREE
p2-15;z2;15;FREE
p2-16;z2;16;FREE
p2-17;z2;17;FREE
p2-18;z2;18;FREE
p2-19;z2;19;FREE
p2-20;z2;20;FREE
p2-21;z2;21;FREE
p2-22;z2;22;FREE
p2-23;z2;23;FREE
p2-24;z2;24;FREE
p2-25;z2;25;FREE
p2-26;z2;26;FREE
p2-27;z2;27;FREE
p2-28;z2;28;FREE
p2-29;z2;29;FREE
p2-30;z2;30;FREE
p2-31;z2;31;FREE
p2-32;z2;32;FREE
p2-33;z2;33;FREE
p2-34;z2;34;FREE
p2-35;z2;35;FREE
p2-36;z2;36;FREE
p2-37;z2;37;FREE
p2-38;z2;38;FREE
p2-39;z2;39;FREE
p2-40;z2;40;FREE
p2-41;z2;41;FREE
p2-42;z2;42;FREE
p2-43;z2;43;FREE
p2-44;z2;44;FREE
p2-45;z2;45;FREE
p2-46;z2;46;FREE
